date,prev_18_23_rain_sum,rain_00_01_sum,min_temp_02_04,temp_drop_to_04,humidity_05_06_mean,wind_05_06_mean,cloud_05_06_mean,rain_05_06_sum,dew_spread_05_06,cloud_06_08_mean,rain_06_08_sum,wind_06_08_mean,hours_since_rain_at_06,visibility_05_06_mean,visibility_05_06_min,visibility_06_08_mean,visibility_06_08_min,visibility_change_06_08,fog_code_hours_05_08,rain_code_hours_06_08,temp_05_08_mean,humidity_05_08_mean,wind_05_08_mean,cloud_05_08_mean,rain_05_08_mean,month,day_of_year_sin,day_of_year_cos,season,castle_visible
2017-09-01,0.0,0.0,14.5,3.8000000000000007,95.0,7.85,0.0,0.0,0.7927035631226893,0.0,0.0,7.133333333333333,24.0,,,,,,0,0,16.975,88.75,7.249999999999999,0.0,0.0,9,-0.8702939222685674,-0.49253272872205434,2017-2018,0
2017-09-02,0.0,0.0,18.1,1.9166666666666643,86.5,5.5,0.5,0.0,2.2772309345544866,1.3333333333333333,0.0,5.133333333333334,24.0,,,,,,0,0,18.675,84.5,5.225,1.0,0.0,9,-0.8786374941610001,-0.4774894280028391,2017-2018,0
2017-09-03,0.0,0.0,15.2,2.9666666666666686,90.5,4.0,50.5,0.0,1.545926330146978,70.66666666666667,0.0,4.866666666666666,24.0,,,,,,0,0,17.0,84.0,4.65,70.0,0.0,9,-0.886721063082993,-0.46230483047981086,2017-2018,0
2017-09-04,0.0,0.0,14.0,3.916666666666668,92.5,6.9,95.5,0.0,1.202919582365471,95.66666666666667,0.0,4.3999999999999995,24.0,,,,,,0,0,16.325000000000003,87.25,5.075,96.5,0.0,9,-0.8945422369764496,-0.4469834295196741,2017-2018,0
2017-09-05,0.0,0.0,15.2,4.766666666666666,90.0,8.2,93.0,0.0,1.6444301988924668,98.0,0.0,6.533333333333334,24.0,,,,,,0,0,18.575000000000003,85.0,6.949999999999999,96.25,0.0,9,-0.9020987014301837,-0.43152975897147144,2017-2018,0
2017-09-06,4.1,3.9,21.0,0.7333333333333343,89.0,4.9,100.0,4.5,1.884533275044106,100.0,4.0,9.466666666666667,0.0,,,,,,0,3,21.35,88.5,8.5,100.0,1.4,9,-0.9093882203647925,-0.4159483918249421,2017-2018,0
2017-09-07,3.5000000000000004,0.0,22.3,0.16666666666666785,93.0,9.149999999999999,99.5,1.3,1.1883339094305114,100.0,3.0,9.4,0.0,,,,,,0,3,22.875,92.75,9.349999999999998,99.75,0.875,9,-0.9164086366943458,-0.4002439388573056,2017-2018,0
2017-09-08,2.9000000000000004,0.2,20.2,1.8999999999999986,96.5,10.399999999999999,99.5,4.9,0.5744258185477165,61.666666666666664,2.2,7.733333333333334,0.0,,,,,,0,2,20.275,94.75,8.975,71.0,1.3250000000000002,9,-0.9231578729647039,-0.38442104726885545,2017-2018,0
2017-09-09,0.0,0.0,16.9,2.5166666666666693,96.0,5.050000000000001,14.5,0.0,0.6408513078298839,9.0,0.0,3.6999999999999997,23.0,,,,,,0,0,18.6,89.25,4.0,10.75,0.0,9,-0.9296339319682695,-0.3684843993077793,2017-2018,1
2017-09-10,0.0,0.0,20.0,1.7666666666666693,92.0,8.45,3.5,0.0,1.3399512195821046,5.333333333333333,0.0,8.233333333333333,24.0,,,,,,0,0,21.425,86.5,8.399999999999999,5.0,0.0,9,-0.9358348973349941,-0.35243871088460327,2017-2018,0
2017-09-11,0.0,0.0,21.1,0.48333333333333073,85.0,10.5,100.0,0.2,2.6376160141297333,100.0,0.4,13.299999999999999,0.0,,,,,,0,2,22.450000000000003,84.25,12.6,100.0,0.1,9,-0.9417589340994617,-0.33628873017668287,2017-2018,0
2017-09-12,3.1000000000000005,3.4000000000000004,23.0,-0.09999999999999787,90.5,10.8,99.5,9.8,1.647772623587521,100.0,24.1,5.333333333333333,0.0,,,,,,0,3,23.375,93.25,7.25,99.75,7.275,9,-0.9474042892438845,-0.32003923622313857,2017-2018,0
2017-09-13,0.3,0.2,20.3,1.1000000000000014,99.0,4.65,100.0,0.0,0.16242181640302888,100.0,0.0,3.8000000000000003,2.0,,,,,,0,0,20.375,97.0,4.025,100.0,0.0,9,-0.9527692922168511,-0.30369503751065885,2017-2018,0
2017-09-14,0.0,0.0,18.2,2.5,99.5,2.45,100.0,0.0,0.08029480240962172,71.0,0.0,2.9333333333333336,24.0,,,,,,0,0,19.375,96.0,2.95,78.25,0.0,9,-0.9578523554276669,-0.28726097055059635,2017-2018,0
2017-09-15,0.0,0.0,13.9,1.883333333333331,84.5,3.95,100.0,0.0,2.578657894995864,99.0,0.0,4.6,24.0,,,,,,0,0,15.500000000000002,82.5,4.449999999999999,99.25,0.0,9,-0.9626519747161487,-0.2707418984477642,2017-2018,0
2017-09-16,0.0,0.0,15.6,1.2333333333333325,88.0,6.6,100.0,0.0,1.9940151269183009,100.0,0.1,5.766666666666667,24.0,,,,,,0,1,17.8,85.25,5.9750000000000005,100.0,0.025,9,-0.9671667297977312,-0.2541427094613622,2017-2018,0
2017-09-17,5.3,0.0,17.0,1.4499999999999993,94.0,6.7,96.0,0.0,0.9731128949217869,93.0,0.0,7.133333333333333,8.0,,,,,,0,0,18.425,91.25,6.95,93.75,0.0,9,-0.97139528468375,-0.23746831555846842,2017-2018,0
2017-09-18,16.599999999999998,14.2,20.3,3.4999999999999964,96.5,15.3,100.0,1.4,0.5739897016065569,94.66666666666667,3.6,14.766666666666666,0.0,,,,,,0,3,19.925,97.0,15.225000000000001,96.0,1.1,9,-0.9753363880767837,-0.2207236509605022,2017-2018,0
2017-09-19,0.0,0.0,14.7,3.9166666666666643,93.0,7.15,22.0,0.0,1.1188014083291815,6.0,0.0,7.0,15.0,,,,,,0,0,17.125,87.75,6.875000000000001,13.25,0.0,9,-0.9789888737409319,-0.20391367068311472,2017-2018,0
2017-09-20,0.0,0.0,16.7,2.066666666666663,88.5,7.7,98.0,0.0,1.9165477742240657,96.33333333333333,0.0,7.599999999999999,24.0,,,,,,0,0,19.225,84.5,7.550000000000001,97.25,0.0,9,-0.9823516608469237,-0.18704334906991657,2017-2018,0
2017-09-21,3.5000000000000004,0.5,17.7,0.7333333333333343,82.0,3.6500000000000004,46.5,0.30000000000000004,3.1167999477655624,42.666666666666664,0.1,2.4,0.0,,,,,,0,1,18.05,84.25,2.7250000000000005,44.75,0.07500000000000001,9,-0.9854237542919524,-0.17011767832049052,2017-2018,0
2017-09-22,0.0,0.0,13.2,4.116666666666667,89.0,9.25,89.0,0.0,1.7960149902720186,93.0,0.0,8.566666666666666,24.0,,,,,,0,0,16.799999999999997,83.75,8.75,90.75,0.0,9,-0.9882042449941422,-0.15314166701312007,2017-2018,0
2017-09-23,0.30000000000000004,0.6,17.1,3.283333333333335,91.0,2.8,27.5,0.0,1.48827541230715,47.333333333333336,0.0,2.966666666666667,5.0,,,,,,0,0,18.950000000000003,88.0,2.925,44.25,0.0,9,-0.9906923101615609,-0.13612033862266704,2017-2018,0
