issued_at,issued_date,target_date,lead_days,temp,humidity,wind,cloud,rain,weathercode
2026-09-25T02:53:40+09:00,2026-09-25,2026-09-26,1,18.5,90.0,2.425,54.25,0.0,2
2026-09-25T02:53:40+09:00,2026-09-25,2026-09-27,2,19.225,92.5,4.525,97.5,1.4249999999999998,61
2026-09-25T02:53:40+09:00,2026-09-25,2026-09-28,3,20.7,96.5,9.825000000000001,99.5,1.575,80
2026-09-25T02:53:40+09:00,2026-09-25,2026-09-29,4,18.525,99.0,3.5999999999999996,100.0,0.0,3
2026-09-25T02:53:40+09:00,2026-09-25,2026-09-30,5,14.675,75.75,9.025,73.25,0.0,2
2026-09-25T02:53:40+09:00,2026-09-25,2026-10-01,6,19.9,98.0,4.65,100.0,1.8,80
2026-09-25T02:53:40+09:00,2026-09-25,2026-10-02,7,15.0,62.75,3.2249999999999996,5.0,0.0,0
2026-09-25T02:53:40+09:00,2026-09-25,2026-10-03,8,15.675,80.75,2.325,91.0,0.0,3
2026-09-25T02:53:40+09:00,2026-09-25,2026-10-04,9,15.575,85.75,4.25,95.0,0.0,3
2026-09-25T02:53:40+09:00,2026-09-25,2026-10-05,10,15.175,87.5,3.25,64.75,0.0,2
2026-09-25T02:53:40+09:00,2026-09-25,2026-10-06,11,15.525,75.5,7.65,11.75,0.0,0
2026-09-25T02:53:40+09:00,2026-09-25,2026-10-07,12,13.899999999999999,81.5,3.0500000000000003,98.25,0.0,3
2026-09-25T02:53:40+09:00,2026-09-25,2026-10-08,13,12.350000000000001,71.5,2.7250000000000005,0.0,0.0,0
2026-09-25T02:53:40+09:00,2026-09-25,2026-10-09,14,14.725,77.0,2.175,68.0,0.0,3
2026-09-26T03:00:03+09:00,2026-09-26,2026-09-27,1,18.15,89.5,1.65,78.0,0.0,3
2026-09-26T03:00:03+09:00,2026-09-26,2026-09-28,2,21.925,87.25,4.775,95.5,0.0,3
2026-09-26T03:00:03+09:00,2026-09-26,2026-09-29,3,19.825,98.5,1.8,100.0,0.0,3
2026-09-26T03:00:03+09:00,2026-09-26,2026-09-30,4,12.75,86.0,5.925000000000001,52.25,0.0,0
2026-09-26T03:00:03+09:00,2026-09-26,2026-10-01,5,18.424999999999997,88.0,5.75,28.75,0.0,1
2026-09-26T03:00:03+09:00,2026-09-26,2026-10-02,6,17.5,71.5,5.325,36.25,0.0,1
2026-09-26T03:00:03+09:00,2026-09-26,2026-10-03,7,15.424999999999999,77.5,0.95,98.75,0.0,3
2026-09-26T03:00:03+09:00,2026-09-26,2026-10-04,8,18.825,74.75,9.775,27.5,0.0,1
2026-09-26T03:00:03+09:00,2026-09-26,2026-10-05,9,17.9,84.0,1.5749999999999997,18.25,0.0,0
2026-09-26T03:00:03+09:00,2026-09-26,2026-10-06,10,14.899999999999999,98.5,8.25,100.0,1.4,80
2026-09-26T03:00:03+09:00,2026-09-26,2026-10-07,11,17.15,91.75,9.575,36.25,0.1,51
2026-09-26T03:00:03+09:00,2026-09-26,2026-10-08,12,15.45,78.25,1.15,99.75,0.0,3
2026-09-26T03:00:03+09:00,2026-09-26,2026-10-09,13,14.4,81.75,3.875,29.0,0.0,1
2026-09-26T03:00:03+09:00,2026-09-26,2026-10-10,14,15.45,76.75,2.7,59.5,0.0,2
